Designator,Mid X,Mid Y,Layer,Rotation
C1,31.95,31.7,top,90
C2,17,10.95,top,90
C3,26.45,31.7,top,270
C4,28.25,20.65,top,270
C5,24.45,31.7,top,270
C6,14.75,20.8,top,90
C7,8.8,14.2,top,270
C8,11.3,14.225,top,270
C9,19,10.95,top,270
D1,25.25,14.25,top,90
D2,11.25,19,top,270
D3,14.45,31.8,top,90
POT1,12,26,top,0
POT2,28,26,top,0
R1,14.75,17.5,top,270
R2,14.75,14.25,top,90
R3,25.25,17.5,top,270
R4,25.25,20.8,top,270
R5,31,27.05,top,270
R6,8.75,17.5,top,270
R7,16.45,31.8,top,270
R8,21,10.95,top,270
R9,26.7875,11.5,top,180
R10,26.75,4.5,top,180
U1,20,18,top,0
U2,29.2,31.75,top,90
U3,27,8,top,0
